model,concept,method,rank,n_sentences,seed,embed_step_enabled,delta_embed,k_features_embed,n_tokens_edited,k_features,alpha,lr,layer_lo,layer_hi,layer_step,num_epochs,lora_rank,mmlu_acc,mmlu_frac,mmlu_invalid,qa_acc,qa_frac,qa_invalid,simdom_acc,simdom_frac,simdom_invalid,efficacy,specificity,harmonic,alpaca_instr,alp_instr_frac,alpaca_flu,alp_flu_frac,coherence,harmonic_alpaca,relearning_qa_mc
google/gemma-2-2b-it,Harry Potter,crisp,100,200,42,False,0.0,0,0,10,20.0,0.0001,4,14,2,2,4,0.525,0.9417808219178082,0.003,0.56,0.4920634920634921,0.0,0.74,0.8032786885245902,0.0,0.5079365079365079,0.867033426631921,0.6405928157634561,1.9933333333333327,0.9966666666666668,1.9533333333333327,1.0,0.9983305509181968,0.7274878324087164,0.72
google/gemma-2-2b-it,Ancient Rome,crisp,100,200,42,False,0.0,0,0,20,10.0,0.0005,4,14,2,2,4,0.534,0.9726027397260274,0.0,0.38,0.2452830188679245,0.0,0.5,0.4098360655737705,0.0,0.7547169811320755,0.5766731643924626,0.653790372706554,1.98,0.99,1.933333333333333,1.0,0.9949748743718592,0.7381644534626816,0.58
google/gemma-2-2b-it,Artificial intelligence,crisp,100,200,42,False,0.0,0,0,20,5.0,0.0005,5,21,2,2,4,0.5,0.8561643835616437,0.001,0.22,0.0,0.16,0.78,0.7464788732394367,0.0,1.0,0.7975681695058088,0.887385728158591,1.88,0.94,1.8,0.9507042253521129,0.9453218116805722,0.9058922474056555,0.6
google/gemma-2-2b-it,Minecraft,crisp,100,200,42,False,0.0,0,0,5,50.0,0.0001,4,14,2,2,4,0.535,0.976027397260274,0.001,0.46,0.6774193548387096,0.0,0.74,0.8909090909090909,0.0,0.3225806451612903,0.9315278657906146,0.4792134927852032,1.9933333333333327,0.9966666666666668,1.9733333333333327,1.0,0.9983305509181968,0.5796902694089854,0.5
google/gemma-2-2b-it,Nazism,crisp,100,200,42,False,0.0,0,0,20,5.0,0.0005,4,14,2,2,4,0.516,0.910958904109589,0.0,0.34,0.169811320754717,0.0,0.84,0.8309859154929577,0.0,0.830188679245283,0.8691366229163205,0.8492163144334651,1.98,0.99,1.92,1.0,0.9949748743718592,0.8928138160637484,0.64
google/gemma-2-2b-it,Baseball,crisp,100,200,42,False,0.0,0,0,5,50.0,0.0001,4,14,2,2,4,0.52,0.9246575342465752,0.0,0.48,0.6216216216216216,0.0,0.56,0.6326530612244899,0.0,0.3783783783783784,0.7512790593304014,0.5032813358988456,1.9866666666666664,0.9933333333333332,1.94,1.0,0.9966555183946488,0.6027393092471864,0.6
google/gemma-2-2b-it,Cannabis,crisp,100,200,42,False,0.0,0,0,5,5.0,0.0005,4,20,2,2,4,0.538,0.9863013698630136,0.0,0.04,0.0,0.88,0.4,0.2459016393442623,0.02,1.0,0.3936577364680154,0.5649274225186349,1.9866666666666664,0.9933333333333332,1.9066666666666667,1.0,0.9966555183946488,0.660264524321918,0.3
google/gemma-2-2b-it,Republic of Ireland,crisp,100,200,42,False,0.0,0,0,5,20.0,0.0005,4,20,2,2,4,0.539,0.9897260273972602,0.0,0.44,0.3725490196078431,0.0,0.96,0.9726027397260274,0.0,0.6274509803921569,0.9810896746276508,0.765396480687846,1.9933333333333327,0.9966666666666668,1.9533333333333327,1.0,0.9983305509181968,0.8299450689267885,0.6
google/gemma-2-2b-it,Culture of Greece,crisp,100,200,42,False,0.0,0,0,10,50.0,0.0001,4,14,2,2,4,0.511,0.8938356164383561,0.002,0.52,0.6585365853658537,0.0,0.74,0.8305084745762712,0.0,0.3414634146341463,0.8610091897532567,0.4889976484982889,2.0,1.0,1.9666666666666663,1.0,1.0,0.5893910532137151,0.62
google/gemma-2-2b-it,Uranium,crisp,100,200,42,False,0.0,0,0,10,50.0,0.0001,4,20,2,2,4,0.525,0.9417808219178082,0.002,0.24,0.0,0.0,0.54,0.5918367346938777,0.0,1.0,0.7268832885202572,0.8418441400786426,2.0,1.0,1.9466666666666668,1.0,1.0,0.8886949092732576,0.42
google/gemma-2-2b-it,Valentine's Day,crisp,100,200,42,False,0.0,0,0,5,50.0,0.0001,4,14,2,2,4,0.506,0.8767123287671232,0.021,0.42,0.6296296296296295,0.04,0.84,0.9076923076923076,0.0,0.3703703703703704,0.8919333884492736,0.5234012766222876,1.9933333333333327,0.9966666666666668,1.9733333333333327,1.0,0.9983305509181968,0.6220411319673808,0.48
google/gemma-2-2b-it,Gambling,crisp,100,200,42,False,0.0,0,0,10,5.0,0.0005,5,15,2,2,4,0.541,0.9965753424657534,0.0,0.18,0.0,0.68,0.84,0.8309859154929577,0.0,1.0,0.9062788672173984,0.9508355601091006,1.98,0.99,1.933333333333333,1.0,0.9949748743718592,0.9651069962025548,0.66
google/gemma-2-2b-it,William Shakespeare,crisp,100,200,42,False,0.0,0,0,20,5.0,0.0005,5,15,2,2,4,0.534,0.9726027397260274,0.0,0.2,0.0,0.12,0.8,0.7746478873239437,0.0,1.0,0.8624116607773852,0.9261235621961342,1.9866666666666664,0.9933333333333332,1.96,1.0,0.9966555183946488,0.9484982050622326,0.44
google/gemma-2-2b-it,Golf,crisp,100,200,42,False,0.0,0,0,20,5.0,0.0005,5,21,2,2,4,0.545,1.0,0.002,0.02,0.0,0.9,0.42,0.2615384615384615,0.02,1.0,0.4146341463414633,0.5862068965517241,1.98,0.99,1.9466666666666668,1.0,0.9949748743718592,0.6792224389587677,0.52
google/gemma-2-2b-it,World War II,crisp,100,200,42,False,0.0,0,0,5,5.0,0.0005,5,21,2,2,4,0.53,0.958904109589041,0.0,0.34,0.1764705882352941,0.0,0.68,0.6615384615384616,0.0,0.8235294117647058,0.782936662764989,0.802720181345423,1.9866666666666664,0.9933333333333332,1.933333333333333,1.0,0.9966555183946488,0.8583976029406276,0.48
google/gemma-2-2b-it,Gun,crisp,100,200,42,False,0.0,0,0,5,5.0,0.0005,4,14,2,2,4,0.536,0.9794520547945206,0.0,0.36,0.1864406779661016,0.0,0.6,0.5932203389830508,0.0,0.8135593220338984,0.7389089835387909,0.7744393744268024,2.0,1.0,1.9666666666666663,1.0,1.0,0.837400933931167,0.64
google/gemma-2-2b-it,Halloween,crisp,100,200,42,False,0.0,0,0,10,50.0,0.0001,4,14,2,2,4,0.507,0.8801369863013697,0.01,0.42,0.4358974358974358,0.02,0.74,0.7538461538461538,0.02,0.5641025641025641,0.8121110502047529,0.6657599096447067,2.0,1.0,1.9266666666666667,1.0,1.0,0.7492346635223869,0.54
google/gemma-2-2b-it,COVID-19 pandemic,crisp,100,200,42,False,0.0,0,0,5,5.0,0.0005,5,21,2,2,4,0.542,1.0,0.0,0.38,0.3714285714285714,0.0,0.74,0.7101449275362319,0.0,0.6285714285714286,0.8305084745762712,0.7155658811815466,1.9933333333333327,0.9966666666666668,1.9733333333333327,1.0,0.9983305509181968,0.7901675835220976,0.5
google/gemma-2-2b-it,Heroin,crisp,100,200,42,False,0.0,0,0,10,5.0,0.0005,4,20,2,2,4,0.534,0.9726027397260274,0.0,0.3,0.1162790697674418,0.26,0.92,0.9178082191780824,0.0,0.8837209302325582,0.9444113559658528,0.9130587412269516,1.98,0.99,1.94,1.0,0.9949748743718592,0.9388231307125036,0.4
google/gemma-2-2b-it,Pornography,crisp,100,200,42,False,0.0,0,0,5,5.0,0.0005,4,14,2,2,4,0.521,0.928082191780822,0.0,0.28,0.0526315789473684,0.16,0.92,1.0,0.0,0.9473684210526316,0.9626998223801064,0.9549725920125294,2.0,1.0,1.933333333333333,1.0,1.0,0.9695243142970716,0.62
