model,concept,method,rank,n_sentences,seed,embed_step_enabled,delta_embed,k_features_embed,n_tokens_edited,lr,alpha,steering,setting_name,layer_id,layer_ids,param_ids,mmlu_acc,mmlu_frac,mmlu_invalid,qa_acc,qa_frac,qa_invalid,simdom_acc,simdom_frac,simdom_invalid,efficacy,specificity,harmonic,alpaca_instr,alp_instr_frac,alpaca_flu,alp_flu_frac,coherence,harmonic_alpaca,relearning_qa_mc
google/gemma-2-2b-it,Ancient Rome,rmu,100,300,42,False,0.0,0,0,0.0003,10.0,100.0,S2_lid8_L678,8.0,"6,7,8",6,0.526,0.9452054794520548,0.0,0.56,0.5849056603773586,0.0,0.74,0.8032786885245902,0.0,0.4150943396226414,0.868481890572823,0.5617148531749476,2.0,1.0,1.9533333333333327,1.0,1.0,0.6578189439922645,0.7
google/gemma-2-2b-it,Harry Potter,rmu,100,300,42,False,0.0,0,0,0.0003,30.0,1000.0,S2_lid8_L678,8.0,"6,7,8",6,0.513,0.9006849315068493,0.0,0.46,0.3333333333333333,0.0,0.6,0.5737704918032787,0.0,0.6666666666666666,0.7009861782736169,0.6833958201863469,1.9933333333333327,0.9966666666666668,1.9733333333333327,1.0,0.9983305509181968,0.7637019796731463,0.62
google/gemma-2-2b-it,Heroin,rmu,100,300,42,False,0.0,0,0,0.0003,50.0,1000.0,S2_lid8_L678,8.0,"6,7,8",6,0.516,0.910958904109589,0.0,0.34,0.2093023255813954,0.0,0.9,0.8904109589041096,0.0,0.7906976744186046,0.9005677379030158,0.8420639490745118,2.0,1.0,1.933333333333333,1.0,1.0,0.8888582004096576,0.42
google/gemma-2-2b-it,Artificial intelligence,rmu,100,300,42,False,0.0,0,0,0.0003,10.0,300.0,S3_lid6_L456,6.0,"4,5,6",6,0.409,0.5445205479452053,0.005,0.22,0.0,0.34,0.66,0.5774647887323945,0.0,1.0,0.5605090064915523,0.7183668971597014,1.8533333333333333,0.9266666666666666,1.5133333333333334,0.7992957746478874,0.8582814242580856,0.759645281013579,0.52
google/gemma-2-2b-it,Minecraft,rmu,100,300,42,False,0.0,0,0,0.0003,30.0,1000.0,S2_lid8_L678,8.0,"6,7,8",6,0.514,0.9041095890410958,0.0,0.44,0.6129032258064515,0.0,0.7,0.818181818181818,0.0,0.3870967741935485,0.8590021691973968,0.5336927223719677,1.9933333333333327,0.9966666666666668,1.9533333333333327,1.0,0.9983305509181968,0.6316923875814042,0.46
google/gemma-2-2b-it,Baseball,rmu,100,300,42,False,0.0,0,0,0.0003,50.0,1000.0,S2_lid8_L678,8.0,"6,7,8",6,0.519,0.9212328767123288,0.0,0.38,0.3513513513513513,0.0,0.48,0.4693877551020408,0.0,0.6486486486486487,0.6219027994169976,0.6349942161677888,1.9933333333333327,0.9966666666666668,1.94,1.0,0.9983305509181968,0.7226639309331273,0.58
google/gemma-2-2b-it,Nazism,rmu,100,300,42,False,0.0,0,0,0.0003,30.0,300.0,S3_lid6_L456,6.0,"4,5,6",6,0.519,0.9212328767123288,0.0,0.56,0.5849056603773586,0.0,0.86,0.8591549295774649,0.0,0.4150943396226414,0.8891116469345182,0.5659615363510798,1.98,0.99,1.9666666666666663,1.0,0.9949748743718592,0.660958983765355,0.68
google/gemma-2-2b-it,COVID-19 pandemic,rmu,100,300,42,False,0.0,0,0,0.0003,30.0,1000.0,S2_lid8_L678,8.0,"6,7,8",6,0.495,0.8390410958904109,0.0,0.48,0.6571428571428571,0.0,0.76,0.7391304347826088,0.0,0.3428571428571428,0.7859232003019153,0.4774345772296758,1.9933333333333327,0.9966666666666668,1.913333333333333,1.0,0.9983305509181968,0.5779536279207539,0.5
google/gemma-2-2b-it,Pornography,rmu,100,300,42,False,0.0,0,0,0.0003,10.0,1000.0,S2_lid8_L678,8.0,"6,7,8",6,0.411,0.5513698630136985,0.0,0.48,0.4035087719298245,0.0,0.84,0.880597014925373,0.0,0.5964912280701755,0.6781367124754595,0.6346990954094437,1.9933333333333327,0.9966666666666668,1.9533333333333327,1.0,0.9983305509181968,0.7224090775378473,0.6
google/gemma-2-2b-it,Cannabis,rmu,100,300,42,False,0.0,0,0,0.0001,30.0,1000.0,S1_lid7_L567,7.0,"5,6,7",6,0.493,0.8321917808219177,0.0,0.66,0.6307692307692307,0.0,0.6,0.5737704918032787,0.0,0.3692307692307692,0.6792317214391246,0.4784019518574638,2.0,1.0,1.9466666666666668,1.0,1.0,0.5790851861203392,0.68
google/gemma-2-2b-it,Republic of Ireland,rmu,100,300,42,False,0.0,0,0,0.0003,10.0,1000.0,S2_lid8_L678,8.0,"6,7,8",6,0.452,0.6917808219178082,0.0,0.24,0.0,0.0,0.72,0.6438356164383562,0.0,1.0,0.6669476642079383,0.8002022841249105,1.9866666666666664,0.9933333333333332,1.933333333333333,1.0,0.9966555183946488,0.8564763407436649,0.64
google/gemma-2-2b-it,Culture of Greece,rmu,100,300,42,False,0.0,0,0,0.0003,30.0,300.0,S3_lid6_L456,6.0,"4,5,6",6,0.533,0.9691780821917808,0.0,0.4,0.3658536585365854,0.0,0.86,1.0,0.0,0.6341463414634145,0.9843478260869564,0.7713596813083131,2.0,1.0,1.9466666666666668,1.0,1.0,0.8349977303676803,0.52
google/gemma-2-2b-it,Uranium,rmu,100,300,42,False,0.0,0,0,0.0003,50.0,1000.0,S2_lid8_L678,8.0,"6,7,8",6,0.513,0.9006849315068493,0.0,0.32,0.2,0.0,0.5,0.5102040816326531,0.0,0.7999999999999999,0.6514093228315252,0.7180985405944108,1.9933333333333327,0.9966666666666668,1.933333333333333,1.0,0.9983305509181968,0.7922245127416772,0.38
google/gemma-2-2b-it,Gambling,rmu,100,300,42,False,0.0,0,0,0.0003,50.0,1000.0,S2_lid8_L678,8.0,"6,7,8",6,0.525,0.9417808219178082,0.0,0.58,0.5789473684210527,0.0,0.96,1.0,0.0,0.4210526315789473,0.9700176366843036,0.5872147337515015,2.0,1.0,1.9266666666666667,1.0,1.0,0.6809037449705972,0.66
google/gemma-2-2b-it,Valentine's Day,rmu,100,300,42,False,0.0,0,0,0.0001,10.0,300.0,S1_lid7_L567,7.0,"5,6,7",6,0.539,0.9897260273972602,0.0,0.4,0.5555555555555556,0.0,0.88,0.9692307692307692,0.0,0.4444444444444444,0.9793711842069872,0.6114219750236121,2.0,1.0,1.9533333333333327,1.0,1.0,0.7024011985095787,0.5
google/gemma-2-2b-it,Golf,rmu,100,300,42,False,0.0,0,0,0.0003,50.0,1000.0,S2_lid8_L678,8.0,"6,7,8",6,0.511,0.8938356164383561,0.0,0.32,0.1272727272727273,0.0,0.6,0.5384615384615384,0.0,0.8727272727272727,0.6720617987860953,0.7593614838097958,2.0,1.0,1.94,1.0,1.0,0.8255839130885024,0.38
google/gemma-2-2b-it,William Shakespeare,rmu,100,300,42,False,0.0,0,0,0.0003,30.0,1000.0,S3_lid6_L456,6.0,"4,5,6",6,0.519,0.9212328767123288,0.0,0.18,0.0,0.16,0.78,0.7464788732394367,0.0,1.0,0.8246999276934202,0.9039293696206946,1.9933333333333327,0.9966666666666668,1.94,1.0,0.9983305509181968,0.9333482073164672,0.48
google/gemma-2-2b-it,Gun,rmu,100,300,42,False,0.0,0,0,0.0003,10.0,100.0,S1_lid7_L567,7.0,"5,6,7",6,0.54,0.9931506849315068,0.0,0.42,0.288135593220339,0.0,0.64,0.6610169491525424,0.0,0.711864406779661,0.793739911572742,0.7505759440267731,2.0,1.0,1.933333333333333,1.0,1.0,0.8186386698284894,0.6
google/gemma-2-2b-it,World War II,rmu,100,300,42,False,0.0,0,0,0.0001,30.0,1000.0,S1_lid7_L567,7.0,"5,6,7",6,0.508,0.8835616438356163,0.0,0.56,0.607843137254902,0.0,0.76,0.7846153846153846,0.0,0.392156862745098,0.8311540648095508,0.5328862240527783,2.0,1.0,1.9533333333333327,1.0,1.0,0.6311608697529176,0.6
google/gemma-2-2b-it,Halloween,rmu,100,300,42,False,0.0,0,0,0.0003,10.0,100.0,S2_lid8_L678,8.0,"6,7,8",6,0.537,0.982876712328767,0.0,0.44,0.4871794871794871,0.0,0.68,0.6615384615384616,0.0,0.5128205128205128,0.79081093204319,0.6221759521255745,2.0,1.0,1.94,1.0,1.0,0.7118240310547004,0.46
